Time,I,Q
0,236,398
1,-26,465
2,-123,480
3,-322,537
4,-376,572
5,-447,571
6,-550,625
7,-594,605
8,-584,612
9,-569,605
10,-398,582
11,-322,562
12,3,548
13,138,537
14,534,518
15,621,505
16,732,396
17,712,342
18,402,146
19,230,49
20,-309,-186
21,-472,-246
22,-760,-387
23,-776,-399
24,-539,-315
25,-387,-246
26,166,-1
27,346,89
28,704,347
29,746,413
30,664,515
31,565,538
32,174,510
33,46,495
34,-316,500
35,-401,501
36,-531,600
37,-544,641
38,-523,769
39,-517,819
40,-432,795
41,-379,741
42,-212,436
43,-123,291
44,123,-183
45,204,-344
46,403,-664
47,423,-700
48,358,-615
49,297,-526
50,-32,-86
51,-157,76
52,-420,508
53,-459,630
54,-391,771
55,-306,772
56,66,615
57,222,543
58,581,339
59,673,284
60,700,225
61,657,250
62,334,397
63,186,447
64,-202,578
65,-320,623
66,-527,657
67,-535,654
68,-470,599
69,-421,592
70,-282,584
71,-258,577
72,-243,608
73,-265,608
74,-394,627
75,-438,616
76,-551,589
77,-527,576
78,-375,541
79,-301,543
80,68,553
81,210,557
82,562,543
83,640,524
84,690,388
85,637,309
86,319,16
87,181,-67
88,-273,-308
89,-416,-354
90,-696,-391
91,-737,-354
92,-726,-142
93,-688,-54
94,-498,247
95,-440,354
96,-268,591
97,-249,655
98,-224,783
99,-241,811
100,-287,832
101,-294,819
102,-354,691
103,-371,611
104,-429,299
105,-442,180
106,-505,-201
107,-531,-302
108,-582,-461
109,-603,-465
110,-611,-238
111,-588,-105
112,-530,338
113,-503,477
114,-373,743
115,-337,755
116,-192,555
117,-133,410
118,53,-108
119,105,-274
120,300,-661
121,348,-734
122,463,-687
123,491,-608
124,520,-226
125,508,-88
126,519,288
127,516,399
128,589,547
129,631,559
130,760,506
131,792,481
132,809,362
133,771,338
134,500,227
135,357,178
136,-129,32
137,-283,-30
138,-644,-211
139,-713,-276
140,-670,-446
141,-587,-485
142,-189,-541
143,-46,-565
144,332,-558
145,404,-539
146,442,-548
147,385,-564
148,71,-581
149,-49,-576
150,-426,-517
151,-527,-480
152,-729,-286
153,-749,-190
154,-717,80
155,-686,179
156,-529,423
157,-470,501
158,-259,626
159,-174,655
160,94,678
161,173,675
162,447,597
163,519,541
164,657,339
165,674,225
166,618,-103
167,561,-234
168,386,-554
169,335,-620
170,253,-713
171,259,-669
172,362,-368
173,409,-232
174,568,204
175,609,323
176,658,507
177,659,505
178,544,215
179,502,70
180,364,-423
181,335,-577
182,304,-817
183,310,-792
184,386,-503
185,397,-371
186,514,145
187,534,305
188,579,545
189,585,544
190,604,267
191,601,104
192,574,-398
193,551,-528
194,424,-786
195,367,-777
196,131,-503
197,42,-356
198,-177,197
199,-255,367
200,-363,699
201,-368,746
202,-295,614
203,-228,514
204,-41,26
205,39,-139
206,247,-573
207,306,-685
208,450,-851
209,496,-845
210,577,-747
211,584,-688
212,495,-541
213,438,-512
214,179,-480
215,63,-487
216,-316,-546
217,-425,-555
218,-658,-527
219,-677,-488
220,-585,-268
221,-487,-177
222,-90,140
223,74,238
224,480,441
225,597,457
226,751,330
227,753,241
228,643,-109
229,558,-253
230,342,-564
231,307,-626
232,245,-656
233,245,-605
234,355,-352
235,394,-250
236,575,122
237,614,220
238,685,473
239,686,518
240,641,582
241,618,571
242,545,497
243,535,435
244,540,257
245,549,190
246,585,-50
247,604,-130
248,581,-386
249,558,-468
250,364,-619
251,262,-662
252,-100,-688
253,-221,-657
254,-541,-532
255,-601,-471
256,-651,-288
257,-619,-235
258,-346,-56
259,-225,-8
260,209,115
261,341,171
262,661,311
263,747,348
264,826,455
265,803,479
266,715,498
267,665,486
268,537,386
269,520,320
270,460,79
271,449,-6
272,428,-295
273,414,-394
274,377,-593
275,362,-634
276,310,-713
277,285,-717
278,270,-658
279,266,-633
280,304,-562
281,318,-543
282,386,-547
283,402,-558
284,459,-617
285,471,-622
286,422,-645
287,369,-646
288,189,-575
289,103,-538
290,-184,-409
291,-289,-356
292,-552,-281
293,-629,-282
294,-737,-317
295,-746,-344
296,-688,-441
297,-657,-458
298,-563,-447
299,-530,-416
300,-515,-236
301,-511,-150
302,-568,145
303,-574,250
304,-537,504
305,-502,574
306,-244,689
307,-134,686
308,258,635
309,395,617
310,640,457
311,673,400
312,612,224
313,518,152
314,166,-26
315,26,-80
316,-377,-246
317,-495,-288
318,-749,-371
319,-789,-392
320,-850,-400
321,-838,-397
322,-744,-346
323,-676,-326
324,-511,-314
325,-433,-317
326,-202,-386
327,-109,-429
328,153,-549
329,229,-599
330,395,-675
331,434,-667
332,447,-628
333,431,-601
334,347,-513
335,313,-504
336,263,-506
337,256,-547
338,333,-688
339,366,-731
340,455,-831
341,473,-844
342,416,-682
343,353,-572
344,128,-157
345,21,1
346,-250,433
347,-333,542
348,-425,690
349,-406,657
350,-245,428
351,-147,312
352,115,-103
353,189,-240
354,381,-605
355,424,-693
356,428,-875
357,421,-879
358,345,-861
359,329,-827
360,301,-661
361,317,-578
362,367,-296
363,400,-184
364,487,119
365,517,222
366,591,375
367,603,378
368,619,272
369,622,190
370,589,-120
371,553,-232
372,420,-552
373,362,-629
374,144,-757
375,53,-766
376,-214,-679
377,-293,-633
378,-519,-420
379,-565,-339
380,-665,-95
381,-690,-21
382,-653,221
383,-631,286
384,-474,486
385,-409,546
386,-162,663
387,-74,667
388,211,663
389,313,641
390,535,499
391,591,435
392,661,189
393,640,96
394,555,-179
395,524,-254
396,387,-494
397,330,-564
398,263,-668
399,266,-683
400,294,-665
401,286,-646
402,343,-586
403,357,-562
404,358,-556
405,359,-566
406,340,-639
407,319,-668
408,313,-705
409,313,-711
410,343,-591
411,355,-524
412,411,-258
413,437,-167
414,497,125
415,520,221
416,595,413
417,627,455
418,708,503
419,722,482
420,741,453
421,725,440
422,600,329
423,524,267
424,233,94
425,117,42
426,-243,-171
427,-365,-239
428,-649,-387
429,-708,-416
430,-826,-411
431,-827,-384
432,-746,-291
433,-716,-276
434,-545,-248
435,-505,-260
436,-330,-402
437,-254,-469
438,-59,-663
439,26,-714
440,269,-727
441,348,-672
442,585,-401
443,650,-272
444,753,125
445,757,232
446,656,459
447,587,472
448,319,320
449,213,224
450,-140,-114
451,-243,-234
452,-521,-448
453,-606,-469
454,-728,-319
455,-745,-223
456,-704,179
457,-663,324
458,-470,653
459,-383,716
460,-64,735
461,40,692
462,351,480
463,439,384
464,595,229
465,607,213
466,543,287
467,489,343
