Time,I,Q
0,-34,-582
1,-10,-533
2,-8,-475
3,0,-134
4,296,309
5,526,74
6,557,31
7,566,-86
8,505,-106
9,255,-96
10,120,-71
11,-242,-13
12,-365,4
13,-609,41
14,-660,56
15,-719,91
16,-707,81
17,-613,69
18,-575,68
19,-460,24
20,-407,-6
21,-322,-132
22,-290,-181
23,-194,-352
24,-152,-409
25,-55,-544
26,-13,-574
27,86,-612
28,93,-604
29,109,-586
30,108,-556
31,17,-493
32,-38,-470
33,-198,-383
34,-258,-352
35,-417,-212
36,-456,-170
37,-519,-2
38,-520,51
39,-442,211
40,-390,230
41,-221,331
42,-167,355
43,19,432
44,63,457
45,124,565
46,131,591
47,91,699
48,82,709
49,-10,658
50,-27,614
51,-50,319
52,-44,190
53,-20,-228
54,4,-355
55,32,-597
56,37,-616
57,8,-494
58,-17,-383
59,-94,15
60,-105,157
61,-111,502
62,-89,563
63,78,624
64,151,564
65,427,359
66,490,271
67,646,17
68,643,-49
69,469,-140
70,364,-142
71,-52,-86
72,-197,-61
73,-524,17
74,-597,43
75,-584,69
76,-507,72
77,-145,61
78,8,46
79,427,16
80,525,13
81,653,-67
82,640,-92
83,452,-216
84,352,-251
85,43,-388
86,-34,-429
87,-170,-550
88,-161,-580
89,-84,-617
90,-47,-623
91,82,-625
92,97,-592
93,57,-493
94,10,-449
95,-215,-258
96,-293,-189
97,-507,-3
98,-560,32
99,-583,89
100,-558,60
101,-374,-116
102,-282,-194
103,-57,-450
104,-11,-511
105,55,-616
106,33,-598
107,-97,-420
108,-186,-323
109,-409,-22
110,-454,60
111,-568,163
112,-575,145
113,-471,-78
114,-419,-187
115,-213,-511
116,-157,-580
117,6,-657
118,36,-620
119,99,-332
120,91,-175
121,70,269
122,44,396
123,-4,617
124,-15,614
125,-29,459
126,-31,351
127,-21,-57
128,-15,-195
129,-6,-538
130,-7,-611
131,-12,-702
132,-28,-692
133,-49,-587
134,-67,-527
135,-71,-456
136,-57,-451
137,-11,-461
138,12,-466
139,74,-531
140,82,-549
141,62,-552
142,45,-540
143,-106,-452
144,-152,-407
145,-337,-250
146,-399,-225
147,-512,-68
148,-521,-6
149,-478,124
